Camera,Date,Time,Temp,Number,Species,Habitat,Trail,Attractants
SC1,11/22/2014,10:55:20,0,1,Red Fox,Forest,Manmade,Cover
SC1,1/27/2015,1:13:34,-9,1,Red Fox,Forest,Manmade,Cover
SC1,1/27/2015,2:11:37,-10,1,Red Fox,Forest,Manmade,Cover
SC1,2/12/2015,14:26:13,-20,1,Red Fox,Forest,Manmade,Cover
SC1,2/15/2015,13:27:41,-22,1,Red Fox,Forest,Manmade,Cover
SC1,3/12/2015,2:43:08,-11,1,Red Fox,Forest,Manmade,Cover
SC1,3/13/2015,3:14:27,-3,1,Red Fox,Forest,Manmade,Cover
SC1,3/17/2015,0:27:27,-3,1,Red Fox,Forest,Manmade,Cover
SC1,3/17/2015,22:08:58,-7,1,Red Fox,Forest,Manmade,Cover
SC1,3/17/2015,22:41:17,-8,1,Red Fox,Forest,Manmade,Cover
SC2,3/20/2015,23:03:43,-2,1,Red Fox,Scrub,Small,Water
SC2,4/4/2015,2:27:16,-13,1,Red Fox,Scrub,Small,Water
SC2,4/4/2015,22:26:36,-7,1,Red Fox,Scrub,Small,Water
SC3,4/11/2015,2:00:31,-3,1,Red Fox,Scrub,None,Manmade
SC3,6/28/2016,22:40:53,9,1,Red Fox,Scrub,None,Manmade
SC3,7/1/2016,22:39:03,10,1,Red Fox,Scrub,None,Manmade
SC3,7/7/2016,2:14:07,10,1,Red Fox,Scrub,None,Manmade
SC3,8/7/2016,2:30:30,14,1,Red Fox,Scrub,None,Manmade
SC3,2/22/2017,20:39:27,0,1,Red Fox,Scrub,None,Manmade
SC3,3/1/2017,7:41:39,-12,1,Red Fox,Scrub,None,Manmade
SC3,9/25/2014,12:06:55,13,1,Red Fox,Scrub,None,Manmade
SC3,11/2/2014,22:10:52,5,1,Red Fox,Scrub,None,Manmade
SC3,11/22/2014,23:07:19,1,1,Red Fox,Scrub,None,Manmade
SC3,12/12/2014,6:54:17,0,1,Red Fox,Scrub,None,Manmade
SC3,12/18/2014,23:01:56,-5,1,Red Fox,Scrub,None,Manmade
SC3,3/12/2015,22:04:54,-2,1,Red Fox,Scrub,None,Manmade
SC3,3/16/2015,10:04:41,1,1,Red Fox,Scrub,None,Manmade
SC3,4/7/2015,10:51:31,5,1,Red Fox,Scrub,None,Manmade
SC4,4/25/2015,23:04:08,1,1,Red Fox,Grassland,Large,None
SC4,4/29/2015,2:02:36,4,1,Red Fox,Grassland,Large,None
SC4,5/3/2015,20:51:51,7,1,Red Fox,Grassland,Large,None
SC4,5/15/2015,3:37:11,6,1,Red Fox,Grassland,Large,None
SC4,5/20/2015,8:32:15,5,1,Red Fox,Grassland,Large,None
SC4,5/20/2015,10:57:15,8,1,Red Fox,Grassland,Large,None
SC4,5/21/2015,1:32:28,1,1,Red Fox,Grassland,Large,None
SC4,5/21/2015,18:37:44,12,1,Red Fox,Grassland,Large,None
SC4,5/24/2015,1:25:16,8,1,Red Fox,Grassland,Large,None
SC4,5/29/2015,2:04:42,10,1,Red Fox,Grassland,Large,None
SC4,5/30/2015,3:57:46,7,1,Red Fox,Grassland,Large,None
SC4,5/31/2015,23:10:50,7,1,Red Fox,Grassland,Large,None
SC4,10/18/2016,21:44:34,4,1,Red Fox,Grassland,Large,None
SC4,11/17/2016,18:50:49,9,1,Red Fox,Grassland,Large,None
SC4,12/22/2016,6:32:08,-2,1,Red Fox,Grassland,Large,None
SC4,1/6/2017,18:55:36,-12,1,Red Fox,Grassland,Large,None
SC4,2/15/2017,20:03:12,-8,1,Red Fox,Grassland,Large,None
SC4,3/8/2017,0:14:09,0,1,Red Fox,Grassland,Large,None
SC4,3/19/2017,4:07:48,-2,1,Red Fox,Grassland,Large,None
SC4,3/19/2017,12:31:29,9,1,Red Fox,Grassland,Large,None
SC4,3/22/2017,18:09:44,-5,1,Red Fox,Grassland,Large,None
SC4,1/20/2015,16:11:35,-9,1,Red Fox,Grassland,Large,None
SC4,2/17/2015,4:24:30,-16,1,Red Fox,Grassland,Large,None
SC4,2/17/2015,11:16:21,-12,1,Red Fox,Grassland,Large,None
SC4,2/17/2015,19:45:44,-19,1,Red Fox,Grassland,Large,None
SC4,2/18/2015,22:26:18,-24,1,Red Fox,Grassland,Large,None
SC4,3/22/2015,0:23:55,-17,1,Red Fox,Grassland,Large,None
SC4,3/24/2015,20:28:25,-6,1,Red Fox,Grassland,Large,None
SC4,4/16/2015,8:16:57,1,1,Red Fox,Grassland,Large,None
SC4,12/18/2014,13:06:04,-3,1,Red Fox,Grassland,Large,None
